,Topic_1
Term_332,1970s 2010 case
Term_333,1971
Term_334,1971 1989
Term_335,1971 98
Term_336,1972
Term_337,1972 2013
Term_338,1972 2013 period
Term_339,1972 81
Term_340,1972 81 chubin
Term_341,1972 social
Term_342,1972 social studies
Term_343,1973
Term_344,1973 1987
Term_345,1973 1987 study
Term_346,1973 2007
Term_347,1973 2007 comparing
Term_348,1973 2015
Term_349,1973 2015 bibliometric
Term_350,1973 84
Term_351,1974
Term_352,1974 2003
Term_353,1974 2003 bibliometrics
Term_354,1974 2006
Term_355,1974 2011
Term_356,1975
Term_357,1975 1979
Term_358,1975 1979 bibliometric
Term_359,1975 1990
Term_360,1975 2001
Term_361,1975 2005
Term_362,1975 2006
Term_363,1975 2014
Term_364,1975 2014 discipline
Term_365,1976
Term_366,1976 1985
Term_367,1976 2010
Term_368,1976 2011
Term_369,1976 historical
Term_370,1976 historical indicators
Term_371,1977
Term_372,1977 1978
Term_373,1977 1978 garfield
Term_374,1977 2000
Term_375,1977 weber
Term_376,1978
Term_377,1978 1980
Term_378,1978 1983
Term_379,1978 1984
Term_380,1978 1997
Term_381,1978 2002
Term_382,1978 2002 perspective
Term_383,1978 2010
Term_384,1978 2010 micro
Term_385,1978 2013
Term_386,1978 garfield
Term_387,1978 natl
Term_388,1978 natl sci
Term_389,1979
Term_390,1979 2010
Term_391,1979 bibliometric
Term_392,1979 bibliometric study
Term_393,1979 quantitative
Term_394,1979 quantitative analysis
Term_395,1980
Term_396,1980 1984
Term_397,1980 1984 life
Term_398,1980 1984 science
Term_399,1980 1989
Term_400,1980 1998
Term_401,1980 1999
Term_402,1980 2000
Term_403,1980 2000 period
Term_404,1980 2000 reflected
Term_405,1980 2005
Term_406,1980 2008
Term_407,1980 2009
Term_408,1980 2009 role
Term_409,1980 2010
Term_410,1980 2011
Term_411,1980 2013
Term_412,1980 early
Term_413,1980 early 1990
Term_414,1980 natl
Term_415,1980 natl sci
Term_416,1980s
Term_417,1980s meadows
Term_418,1980s meadows aj
Term_419,1980s relative
Term_420,1980s relative decline
Term_421,1980s special
Term_422,1980s special reference
Term_423,1981
Term_424,1981 1985
Term_425,1981 1985 distribution
Term_426,1981 1985 pilot
Term_427,1981 1992
Term_428,1981 1993
Term_429,1981 1995
Term_430,1981 1995 period
Term_431,1981 1999
Term_432,1981 2000
Term_433,1981 2003
Term_434,1981 2003 analysis
Term_435,1981 2010
Term_436,1981 96
Term_437,1981 present
Term_438,1982
Term_439,1982 1986
Term_440,1982 1992
Term_441,1982 1993
Term_442,1983
Term_443,1983 1989
Term_444,1983 1994
Term_445,1983 2003
Term_446,1983 2003 exploratory
Term_447,1983 2003 period
Term_448,1983 2012
Term_449,1983 september
Term_450,1983 september 11
Term_451,1983 social
Term_452,1983 social studies
Term_453,1984
Term_454,1984 1993
Term_455,1984 89
Term_456,1984 89 contribution
Term_457,1984 application
Term_458,1984 application lotkas
Term_459,1984 life
Term_460,1984 life sciences
Term_461,1984 science
Term_462,1984 science fields
Term_463,1985
Term_464,1985 1989
Term_465,1985 1989 1990
Term_466,1985 1989 versus
Term_467,1985 1993
Term_468,1985 1994
Term_469,1985 1995
Term_470,1985 2005
Term_471,1985 2010
Term_472,1985 2013
Term_473,1985 distribution
Term_474,1985 distribution publication
Term_475,1985 pilot
Term_476,1985 pilot study
Term_477,1986
Term_478,1986 1990
Term_479,1986 2010
Term_480,1986 91
Term_481,1986 91 international
Term_482,1987
Term_483,1987 1994
Term_484,1987 1997
Term_485,1987 2000
Term_486,1987 2008
Term_487,1987 price
Term_488,1987 price derek
Term_489,1987 study
Term_490,1987 study companies
Term_491,1987 terms
Term_492,1987 terms number
Term_493,1988
Term_494,1988 1992
Term_495,1988 1997
Term_496,1988 2002
Term_497,1988 2003
Term_498,1988 96
Term_499,1988 price
Term_500,1988 price derek
Term_501,1989
Term_502,1989 1990
Term_503,1989 1990 1994
Term_504,1989 1992
Term_505,1989 1993
Term_506,1989 1993 fields
Term_507,1989 1993 life
Term_508,1989 2000
Term_509,1989 2009
Term_510,1989 obituary
Term_511,1989 price
Term_512,1989 price derek
Term_513,1989 versus
Term_514,1989 versus 1980
Term_515,1990
Term_516,1990 1992
Term_517,1990 1994
Term_518,1990 1995
Term_519,1990 1995 scientific
Term_520,1990 1998
Term_521,1990 1999
Term_522,1990 2004
Term_523,1990 2005
Term_524,1990 2006
Term_525,1990 2006 author
Term_526,1990 2009
Term_527,1990 2010
Term_528,1990 2011
Term_529,1990 2011 period
Term_530,1990 2014
Term_531,1990 bibliometric
Term_532,1990 bibliometric study
Term_533,1990s
Term_534,1991
Term_535,1991 1995
Term_536,1991 1995 war
Term_537,1991 2000
Term_538,1991 2003
Term_539,1991 2005
Term_540,1991 2005 measured
Term_541,1991 2006
Term_542,1991 2007
Term_543,1991 2009
Term_544,1991 2009 emphasis
Term_545,1991 2010
Term_546,1991 2010 bibliometric
Term_547,1991 2010 cross
Term_548,1991 95
Term_549,1992
Term_550,1992 1997
Term_551,1992 1997 facts
Term_552,1992 2002
Term_553,1992 2003
Term_554,1992 2011
Term_555,1992 2011 bibliometric
Term_556,1993
Term_557,1993 1997
Term_558,1993 1997 bovine
Term_559,1993 2001
Term_560,1993 2003
Term_561,1993 2010
Term_562,1993 2012
Term_563,1993 berlin
Term_564,1993 berlin germany
Term_565,1993 derek
Term_566,1993 derek john
Term_567,1993 fields
Term_568,1993 fields combined
Term_569,1993 life
Term_570,1993 life sciences
Term_571,1994
Term_572,1994 1996
Term_573,1994 1998
Term_574,1994 1999
Term_575,1994 2003
Term_576,1994 2004
Term_577,1994 2005
Term_578,1994 2010
Term_579,1994 2011
Term_580,1994 2013
Term_581,1994 2013 bibliometric
Term_582,1994 evolution
Term_583,1994 evolution revolution
Term_584,1995
Term_585,1995 2000
Term_586,1995 2004
Term_587,1995 2008
Term_588,1995 2009
Term_589,1995 2009 case
Term_590,1995 2014
Term_591,1995 2014 bibliometric
Term_592,1995 derek
Term_593,1995 derek desolla
Term_594,1995 period
Term_595,1995 scientific
Term_596,1995 scientific production
Term_597,1995 thessaloniki
Term_598,1995 thessaloniki greece
Term_599,1995 war
Term_600,1995 war croatian
Term_601,1996
Term_602,1996 1998
Term_603,1996 1999
Term_604,1996 2000
Term_605,1996 2005
Term_606,1996 2005 introducing
Term_607,1996 2006
Term_608,1996 2010
Term_609,1996 2012
Term_610,1996 2012 relationship
Term_611,1996 2013
Term_612,1996 eyes
Term_613,1996 eyes internet
Term_614,1996 introduction
Term_615,1996 july
Term_616,1996 july 2015
Term_617,1996 june
Term_618,1996 june 2012
Term_619,1996 polymath
Term_620,1996 polymath information
Term_621,1997
Term_622,1997 1998
Term_623,1997 2000
Term_624,1997 2001
Term_625,1997 2002
Term_626,1997 2006
Term_627,1997 2008
Term_628,1997 2011
Term_629,1997 2011 using
Term_630,1997 2014
Term_631,1997 bovine
Term_632,1997 bovine mastitis
Term_633,1997 derek
Term_634,1997 derek solla
Term_635,1997 facts
Term_636,1997 facts figures
Term_637,1998
Term_638,1998 2006
Term_639,1998 2007
Term_640,1998 2008
Term_641,1998 introduction
Term_642,1998 vienna
Term_643,1998 vienna austria
Term_644,1999
Term_645,1999 2006
Term_646,1999 2008
Term_647,1999 2009
Term_648,1999 derek
Term_649,1999 derek solla
Term_650,1999 foreword
Term_651,1999 honour
Term_652,1999 honour dr
Term_653,19th
Term_654,19th centuries
Term_655,19th century
Term_656,19th century mathematics
Term_657,19th century scaling
Term_658,1infuse
Term_659,1infuse model
Term_660,1st
Term_661,1st author
Term_662,1st author counts
Term_663,1st citation
Term_664,1st citation processes
Term_665,1st international
Term_666,1st international conference
Term_667,1st language
Term_668,1st language preliminary
Term_669,1st march
Term_670,1st march 2012
Term_671,1st model
Term_672,1st price
Term_673,1st price derek
Term_674,1st professors
Term_675,1st professors american
Term_676,1st rock
Term_677,1st rock observations
Term_678,20
Term_679,20 1984
Term_680,20 languages
Term_681,20 leading
Term_682,20 leading economic
Term_683,20 natural
Term_684,20 natural science
Term_685,20 research
Term_686,20 research note
Term_687,20 rule
Term_688,20 th
Term_689,20 th century
Term_690,20 year
Term_691,20 year perspective
Term_692,2000
Term_693,2000 12
Term_694,2000 2004
Term_695,2000 2004 scientometric
Term_696,2000 2007
Term_697,2000 2009
Term_698,2000 2009 period
Term_699,2000 2009 periphery
Term_700,2000 2010
Term_701,2000 2011
Term_702,2000 2011 bibliometric
Term_703,2000 2012
Term_704,2000 2013
Term_705,2000 2013 based
Term_706,2000 2014
Term_707,2000 2014 word
Term_708,2000 2015
Term_709,2000 period
Term_710,2000 preface
Term_711,2000 reflected
Term_712,2000 reflected science
Term_713,2001
Term_714,2001 10
Term_715,2001 2010
Term_716,2001 2013
Term_717,2001 2014
Term_718,2001 2014 word
Term_719,2001 preface
Term_720,2001 scientific
Term_721,2001 scientific argentina
Term_722,2002
Term_723,2002 2004
Term_724,2002 2005
Term_725,2002 2012
Term_726,2002 2014
Term_727,2002 obituary
Term_728,2002 perspective
Term_729,2002 perspective patent
Term_730,2003
Term_731,2003 2005
Term_732,2003 2007
Term_733,2003 2009
Term_734,2003 2012
Term_735,2003 2013
Term_736,2003 analysis
Term_737,2003 analysis surnames
Term_738,2003 asist
Term_739,2003 asist membership
Term_740,2003 bibliographic
Term_741,2003 bibliographic record
Term_742,2003 bibliometrics
Term_743,2003 bibliometrics humanities
Term_744,2003 derek
Term_745,2003 derek solla
Term_746,2003 exploratory
Term_747,2003 exploratory study
Term_748,2003 obituary
Term_749,2003 period
Term_750,2004
Term_751,2004 2006
Term_752,2004 2008
Term_753,2004 2008 perspective
Term_754,2004 2011
Term_755,2004 information
Term_756,2004 information processing
Term_757,2004 scientometric
Term_758,2004 scientometric assessment
Term_759,2005
Term_760,2005 2007
Term_761,2005 2009
Term_762,2005 2010
Term_763,2005 2011
Term_764,2005 2012
Term_765,2005 2012 past
Term_766,2005 2013
Term_767,2005 content
Term_768,2005 content analysis
Term_769,2005 derek
Term_770,2005 derek solla
Term_771,2005 introducing
Term_772,2005 introducing author
Term_773,2005 journal
Term_774,2005 journal citation
Term_775,2005 measured
Term_776,2005 measured journals
Term_777,2005 term
Term_778,2005 term analysis
Term_779,2005 trends
Term_780,2005 trends possible
Term_781,2006
Term_782,2006 2007
Term_783,2006 2007 2011
Term_784,2006 2008
Term_785,2006 2010
Term_786,2006 2010 author
Term_787,2006 2010 based
Term_788,2006 2010 basis
Term_789,2006 2011
Term_790,2006 2015
Term_791,2006 2015 introducing
Term_792,2006 author
Term_793,2006 author cocitation
Term_794,2006 snapshot
Term_795,2007
Term_796,2007 2011
Term_797,2007 2011 2012
Term_798,2007 2012
Term_799,2007 comparing
Term_800,2007 comparing bangladesh
Term_801,2008
Term_802,2008 2012
Term_803,2008 2013
Term_804,2008 2013 sex
Term_805,2008 bibliometric
Term_806,2008 bibliometric analysis
Term_807,2008 july
Term_808,2008 july 2009
Term_809,2008 perspective
Term_810,2008 perspective paper
Term_811,2009
Term_812,2009 2010
Term_813,2009 2010 2011
Term_814,2009 2011
Term_815,2009 case
Term_816,2009 case study
Term_817,2009 emphasis
Term_818,2009 emphasis international
Term_819,2009 period
Term_820,2009 periphery
Term_821,2009 periphery countries
Term_822,2009 ranking
Term_823,2009 ranking comparative
Term_824,2009 role
Term_825,2009 role cooperation
Term_826,2009 victorian
Term_827,2009 victorian bushfires
Term_828,2010
Term_829,2010 2011
Term_830,2010 applied
Term_831,2010 applied forestry
Term_832,2010 author
Term_833,2010 author cocitation
Term_834,2010 based
Term_835,2010 based analysis
Term_836,2010 basis
Term_837,2010 basis ascertaining
Term_838,2010 bibliometric
Term_839,2010 bibliometric analysis
Term_840,2010 case
Term_841,2010 case study
Term_842,2010 cross
Term_843,2010 cross disciplinary
Term_844,2010 micro
Term_845,2010 micro macro
Term_846,2010 paper
Term_847,2010 review
Term_848,2010 review inaugurational
Term_849,2011
Term_850,2011 2012
Term_851,2011 2012 data
Term_852,2011 bibliometric
Term_853,2011 bibliometric analysis
Term_854,2011 period
Term_855,2011 revisited
Term_856,2011 revisited bibliometric
Term_857,2011 scientometric
Term_858,2011 scientometric education
Term_859,2011 using
Term_860,2011 using bibliometric
Term_861,2012
Term_862,2012 2013
Term_863,2012 bibliometric
Term_864,2012 bibliometric analysis
Term_865,2012 da
Term_866,2012 da 14
Term_867,2012 data
Term_868,2012 data collection
Term_869,2012 fairness
Term_870,2012 fairness test
Term_871,2012 past
Term_872,2012 past growth
Term_873,2012 presidential
Term_874,2012 presidential election
Term_875,2012 relationship
Term_876,2012 relationship governmental
Term_877,2012 square
Term_878,2012 square reality
Term_879,2013
Term_880,2013 based
Term_881,2013 based text
Term_882,2013 bibliometric
Term_883,2013 bibliometric analysis
Term_884,2013 period
Term_885,2013 sex
Term_886,2013 sex ethnicity
Term_887,2014
Term_888,2014 bibliometric
Term_889,2014 bibliometric analysis
Term_890,2014 discipline
Term_891,2014 word
Term_892,2014 word analysis
Term_893,2015
Term_894,2015 bibliometric
Term_895,2015 bibliometric case
Term_896,2015 introducing
Term_897,2015 introducing author
Term_898,20th
Term_899,20th century
Term_900,20th century astronomy
Term_901,20th century chemistry
Term_902,20th century logic
Term_903,20th century manifested
Term_904,21
Term_905,21 1990
Term_906,21 21
Term_907,21 21 1990
Term_908,21 24
Term_909,21 24 1996
Term_910,21578
Term_911,21578 subsets
Term_912,2182
Term_913,2182 2012
Term_914,219
Term_915,219 sub
Term_916,219 sub fields
Term_917,21st
Term_918,21st century
Term_919,21st century compared
Term_920,21st century review
Term_921,228
Term_922,228 2000
Term_923,23
Term_924,23 1995
Term_925,231
Term_926,231 388
Term_927,231 388 papers
Term_928,24
Term_929,24 1996
Term_930,24 1996 introduction
Term_931,24 june
Term_932,24 june 11
Term_933,25
Term_934,25 highly
Term_935,25 highly cited
Term_936,25 year
Term_937,25 year longitudinal
Term_938,25 years
Term_939,25 years analysis
Term_940,2544
Term_941,2544 2010
Term_942,255
Term_943,255 1996
Term_944,26
Term_945,26 27
Term_946,26 27 28
Term_947,26 35
Term_948,26 physicists
Term_949,26 physicists comparison
Term_950,2649
Term_951,2649 journals
Term_952,2649 journals 96
Term_953,27
Term_954,27 28
Term_955,27 28 1999
Term_956,27 28 april
Term_957,27 science
Term_958,27 science areas
Term_959,28
Term_960,28 1999
Term_961,28 1999 foreword
Term_962,28 april
Term_963,28 april 1995
Term_964,281
Term_965,281 282
Term_966,281 282 2004
Term_967,282
Term_968,282 2004
Term_969,282 2004 information
Term_970,29
Term_971,29 countries
Term_972,29 countries pilot
Term_973,29 life
Term_974,29 life science
Term_975,299
Term_976,299 articles
Term_977,2d
Term_978,2d architectural
Term_979,2d architectural style
Term_980,2nd
Term_981,2nd century
Term_982,2nd century african
Term_983,2nd edition
Term_984,2nd generation
Term_985,2nd generation citations
Term_986,2nd process
Term_987,2nd process peer
Term_988,30
Term_989,30 000
Term_990,30 000 hits
Term_991,30 years
Term_992,30 years bibliometric
Term_993,30 years monitored
Term_994,300
Term_995,300 precision
Term_996,300 precision anomalies
Term_997,300 ranked
Term_998,300 ranked universities
Term_999,307
Term_1000,307 2009
Term_1001,317
Term_1002,317 1995
Term_1003,32
Term_1004,32 countries
Term_1005,32 countries zipf
Term_1006,32 country
Term_1007,32 country comparative
Term_1008,323
Term_1009,323 2012
Term_1010,33
Term_1011,33 pg
Term_1012,33 pg 23
Term_1013,34
Term_1014,34 oecd
Term_1015,34 oecd countries
Term_1016,34 pg
Term_1017,34 pg 317
Term_1018,342
Term_1019,342 2000
Term_1020,345
Term_1021,345 2000
Term_1022,35
Term_1023,35 years
Term_1024,35 years 11
Term_1025,35 years 160
Term_1026,36
Term_1027,36 pg
Term_1028,36 pg 255
Term_1029,37
Term_1030,37 different
Term_1031,37 different index
Term_1032,38
Term_1033,38 2004
Term_1034,388
Term_1035,388 papers
Term_1036,3rd
Term_1037,3rd derek
Term_1038,3rd derek desolla
Term_1039,3rd desolla
Term_1040,3rd desolla derek
Term_1041,3rd edition
Term_1042,40
Term_1043,40 citation
Term_1044,40 citation classics
Term_1045,40 years
Term_1046,40 years physical
Term_1047,40 years slovenia
Term_1048,404
Term_1049,404 page
Term_1050,404 page recovery
Term_1051,41
Term_1052,45
Term_1053,45 years
Term_1054,45 years self
Term_1055,48
Term_1056,48 2011
Term_1057,48 countries
Term_1058,48 countries 18
Term_1059,48 countries period
Term_1060,48 pg
Term_1061,48 pg 121
Term_1062,48 pg 345
Term_1063,4th
Term_1064,4th edition
Term_1065,4th international
Term_1066,4th international conference
Term_1067,4th nordic
Term_1068,4th nordic workshop
Term_1069,50
Term_1070,50 nations
Term_1071,50 nations 27
Term_1072,50 volumes
Term_1073,50 volumes journal
Term_1074,50 years
Term_1075,500
Term_1076,500 arwu
Term_1077,500 arwu provide
Term_1078,500 companies
Term_1079,500 foreign
Term_1080,500 foreign investment
Term_1081,500 universities
Term_1082,500 universities leiden
Term_1083,500 world
Term_1084,500 world universities
Term_1085,51
Term_1086,51 countries
Term_1087,51 countries 1978
Term_1088,51 pg
Term_1089,51 pg 228
Term_1090,53
Term_1091,53 pg
Term_1092,53 pg 695
Term_1093,55
Term_1094,55 281
Term_1095,55 281 282
Term_1096,56
Term_1097,56 pg
Term_1098,56 pg 137
Term_1099,56 pg 140
Term_1100,57
Term_1101,57 pg
Term_1102,57 pg 342
Term_1103,57 pg 96
Term_1104,577
Term_1105,577 2008
Term_1106,58
Term_1107,58 pg
Term_1108,58 pg 1392
Term_1109,59
Term_1110,59 informatika
Term_1111,59 pg
Term_1112,59 pg 1433
Term_1113,59 pg 1829
Term_1114,59 pg 1841
Term_1115,59 pg 577
Term_1116,59 pg 63
Term_1117,59 pp
Term_1118,59 pp 1111
Term_1119,5squal
Term_1120,5th
Term_1121,5th edition
Term_1122,60
Term_1123,60 internet
Term_1124,60 internet mod
Term_1125,60 pg
Term_1126,60 pg 307
Term_1127,61
Term_1128,61 pg
Term_1129,61 pg 1970
Term_1130,61 pg 2544
Term_1131,61 pg 640
Term_1132,62
Term_1133,62 pg
Term_1134,62 pg 1637
Term_1135,63
Term_1136,63 2004
Term_1137,63 pg
Term_1138,63 pg 2182
Term_1139,63 pg 323
Term_1140,63 pg 829
Term_1141,63 pg 98
Term_1142,64
Term_1143,64 pg
Term_1144,64 pg 1330
Term_1145,640
Term_1146,640 2010
Term_1147,695
Term_1148,695 2002
Term_1149,6th
Term_1150,6th framework
Term_1151,6th framework programme
Term_1152,6th framework programmes
Term_1153,70
Term_1154,70 years
Term_1155,70 years biological
Term_1156,737
Term_1157,737 2013
Term_1158,77
Term_1159,77 leading
Term_1160,77 leading journals
Term_1161,7th
Term_1162,7th international
Term_1163,7th international conference
Term_1164,80
Term_1165,80 20
Term_1166,80 20 rule
Term_1167,80s
Term_1168,80s indexes
Term_1169,80s indexes current
Term_1170,81
Term_1171,81 chubin
Term_1172,829
Term_1173,829 2012
Term_1174,84
Term_1175,85
Term_1176,85 hungarian
Term_1177,85 hungarian research
Term_1178,87
Term_1179,87 88
Term_1180,87 88 egghe
Term_1181,88
Term_1182,88 egghe
Term_1183,88 egghe rousseau
Term_1184,89
Term_1185,89 contribution
Term_1186,89 contribution pharmacology
Term_1187,89 contribution subfields
Term_1188,8th
Term_1189,8th international
Term_1190,8th international conference
Term_1191,91
Term_1192,91 international
Term_1193,91 international authorship
Term_1194,95
Term_1195,96
Term_1196,96 2006
Term_1197,96 countries
Term_1198,96 countries 1981
Term_1199,96 countries major
Term_1200,98
Term_1201,98 2012
Term_1202,ab
Term_1203,abbott
Term_1204,abbott wooster
Term_1205,abbott wooster memorial
Term_1206,abbreviation
Term_1207,abbreviation disambiguation
Term_1208,abc
Term_1209,abc clio
Term_1210,abc clio historical
Term_1211,abcs
Term_1212,abcs xml
Term_1213,abcs xml librarian
Term_1214,abels
Term_1215,abels similar
Term_1216,abels similar international
Term_1217,ability
Term_1218,ability phi
Term_1219,ability phi index
Term_1220,ability year
Term_1221,ability year college
Term_1222,able
Term_1223,able identify
Term_1224,able identify high
Term_1225,aboutness
Term_1226,aboutness level
Term_1227,aboutness subject
Term_1228,aboutness subject topicality
Term_1229,abramo
Term_1230,abramo angelo
Term_1231,abramo angelo farewell
Term_1232,abridged
Term_1233,abridged lexical
Term_1234,abridged lexical query
Term_1235,abroad
Term_1236,abroad fair
Term_1237,abroad fair trade
Term_1238,abroad scientometric
Term_1239,abroad scientometric study
Term_1240,abs
Term_1241,abs journals
Term_1242,absence
Term_1243,absence creativity
Term_1244,absence creativity feist
Term_1245,absence manually
Term_1246,absence manually labeled
Term_1247,absolute
Term_1248,absolute effective
Term_1249,absolute effective indexes
Term_1250,absolute relative
Term_1251,absolute relative impact
Term_1252,absolute specific
Term_1253,absolute specific measures
Term_1254,absorptive
Term_1255,absorptive capacity
