EID,Title,Authors,Year,DOI,Abstract
2-s2.0-85186751252,The convergence of naturalistic paradigms and cognitive neuroscience methods to investigate memory and its development,"Tarnpreet Virk, Thierry Letendre, Thanujeni Pathman",2024,10.1016/j.neuropsychologia.2023.108779,
2-s2.0-85189209065,"Manifestations, social impact, and decay of conceptual beliefs: A cultural perspective","Rüdiger J. Seitz, Raymond F. Paloutzian, Hans Ferdinand Angel",2024,10.1002/brb3.3470,
2-s2.0-85188588681,Optical coherence tomography as a potential surrogate marker of dopaminergic modulation across the life span,"Julia Elmers, Lorenza S. Colzato, Focke Ziemssen, Tjalf Ziemssen, Christian Beste",2024,10.1016/j.arr.2024.102280,
2-s2.0-85188204551,Minimal logical teleology in artifacts and biology connects the two domains and frames mechanisms via epistemic circularity,José Antonio Pérez-Escobar,2024,10.1016/j.shpsa.2024.02.001,
2-s2.0-85187725428,Perceptual Training as Means to Assess the Effect of Alpha Frequency on Temporal Binding Window,Agnese Venskus,2024,10.1162/jocn_a_01982,
2-s2.0-85187622745,Alpha Oscillations and Temporal Binding Windows in Perception—A Critical Review and Best Practice Guidelines,"Jan Mathijs Schoffelen, Ugo Giulio Pesci, Uta Noppeney",2024,10.1162/jocn_a_02118,
2-s2.0-85187577367,Leanne Williams: fighting stigma through imaging,Talha Burki,2024,10.1016/S2215-0366(24)00066-X,
2-s2.0-85186519450,Reconsidering Luria's speech mediation: Verbalization and haptic picture identification in children with congenital total blindness,"Amedeo D'Angiulli, Dana Wymark, Santa Temi, Sahar Bahrami, Andre Telfer",2024,10.1016/j.cortex.2024.01.010,
2-s2.0-85185975248,"Exploring clinical applications and long-term effectiveness of benzodiazepines: An integrated perspective on mechanisms, imaging, and personalized medicine","Yiheng Chang, Xueting Xie, Yudan Liu, Meichen Liu, Huimin Zhang",2024,10.1016/j.biopha.2024.116329,
2-s2.0-85185393381,From tripping and falling to ruminating and worrying: a meta-control account of repetitive negative thinking,"Peter F. Hitchcock, Michael J. Frank",2024,10.1016/j.cobeha.2024.101356,
2-s2.0-85183341801,Global Versus Local Theories of Consciousness and the Consciousness Assessment Issue in Brain Organoids,Maxence Gaillard,2024,10.1007/s12152-024-09544-7,
2-s2.0-85183007137,A synergetic turn in cognitive neuroscience of brain diseases,"Agustin Ibanez, Morten L. Kringelbach, Gustavo Deco",2024,10.1016/j.tics.2023.12.006,
2-s2.0-85180103812,New directions for studying the aging social-cognitive brain,"Natalie C. Ebner, Marilyn Horta, Dalia El-Shafie",2024,10.1016/j.copsyc.2023.101768,
2-s2.0-85176617839,Decoding speech sounds from neurophysiological data: Practical considerations and theoretical implications,"McCall E. Sarrett, Joseph C. Toscano",2024,10.1111/psyp.14475,
2-s2.0-85151685382,Representational formats of human memory traces,"Rebekka Heinen, Anne Bierbrauer, Oliver T. Wolf, Nikolai Axmacher",2024,10.1007/s00429-023-02636-9,
2-s2.0-85135693998,Novel computerized neurocognitive test battery is sensitive to cancer-related cognitive deficits in survivors,"Alexandra M. Gaynor, Anam Ahsan, Duane Jung, Elizabeth Schofield, Yuelin Li, Elizabeth Ryan, Tim A. Ahles, James C. Root",2024,10.1007/s11764-022-01232-w,
2-s2.0-85188837708,Neurotopographical Transformations: Dissecting Cortical Reconfigurations in Auditory Deprivation,"Uttam Kumar, Kalpana Dhanik, Himanshu R. Pandey, Mrutyunjaya Mishra, Amit Keshri",2024,10.1523/JNEUROSCI.1649-23.2024,
2-s2.0-85188349039,Caliper-based precise positioning of the target (CALIPPOT) for transcranial magnetic stimulation without neuronavigation system,"Yunsong Hu, Rong Zeng, Juan Yue, Qiu Ge, Hongxiao Wang, Zijian Feng, Jue Wang, Yufeng Zang",2024,10.1136/gpsych-2023-101262,
2-s2.0-85187808071,Probing cerebellar circuit dysfunction in rodent models of spinocerebellar ataxia by means of in vivo two-photon calcium imaging,"Christopher Douthwaite, Christoph Tietje, Xiao Qian Ye, Sabine Liebscher",2024,10.1016/j.xpro.2024.102911,
2-s2.0-85187309490,Brain-wide human oscillatory local field potential activity during visual working memory,"Balbir Singh, Zhengyang Wang, Leen M. Madiah, S. Elizabeth Gatti, Jenna N. Fulton, Graham W. Johnson, Rui Li, Benoit M. Dawant, Dario J. Englot, Sarah K. Bick, Shawniqua Williams Roberson, Christos Constantinidis",2024,10.1016/j.isci.2024.109130,
2-s2.0-85187280877,Profiles of visual perceptual learning in feature space,"Shiqi Shen, Yueling Sun, Jiachen Lu, Chu Li, Qinglin Chen, Ce Mo, Fang Fang, Xilin Zhang",2024,10.1016/j.isci.2024.109128,
2-s2.0-85187001977,Adaptation of sequential action benefits from timing variability related to lateral basal ganglia circuitry,"Lachlan A. Ferguson, Miriam Matamales, Christopher Nolan, Bernard W. Balleine, Jesus Bertran-Gonzalez",2024,10.1016/j.isci.2024.109274,
2-s2.0-85186524946,Frequency-specific segregation and integration of human cerebral cortex: An intrinsic functional atlas,"Zhiguo Luo, Erwei Yin, Ling Li Zeng, Hui Shen, Jianpo Su, Limin Peng, Ye Yan, Dewen Hu",2024,10.1016/j.isci.2024.109206,
2-s2.0-85186081233,Understanding the cognitive and neuroimaging bases underlying the detrimental impact of sleep deprivation on reciprocity,"Wenwen Yu, Jie Chen, Zhifei Kong, Wei Sun, Xiaolin Zhou, Lin Lu, Xiaoxue Gao, Hongqiang Sun",2024,10.1016/j.isci.2024.109155,
2-s2.0-85185595416,Multisensory training improves the development of spatial cognition after sight restoration from congenital cataracts,"Irene Senna, Sophia Piller, Chiara Martolini, Elena Cocchi, Monica Gori, Marc O. Ernst",2024,10.1016/j.isci.2024.109167,
2-s2.0-85180357941,Simultaneous recordings of pupil size variation and locus coeruleus activity in mice,"Marine Megemont, Lucas S. Tortorelli, Jim McBurney-Lin, Jeremiah Y. Cohen, Daniel H. O'Connor, Hongdian Yang",2024,10.1016/j.xpro.2023.102785,
2-s2.0-85188760934,Cognitive phenomena measurement with time window-based multispectral brain mapping,"Nikola Petrović, Sanja Mandić, Svetlana Borojević, Nemanja Gazivoda, Platon Sovilj",2024,10.3233/THC-230241,
2-s2.0-85178400111,Anisotropic Electronic Skin for Neurofeedback,"Wenya Hu, Dekui Song, Xiaohu Shi, Lichuan Zhou, Zihan Zhao, Ting Xue, Xinyun Lin, Nan Liu",2024,10.1002/adfm.202309359,
2-s2.0-85188743995,A Two-Layer Self-Organizing Map with Vector Symbolic Architecture for Spatiotemporal Sequence Learning and Prediction,"Thimal Kempitiya, Damminda Alahakoon, Evgeny Osipov, Sachin Kahawala, Daswin De Silva",2024,10.3390/biomimetics9030175,
2-s2.0-85188504343,"Quantitative fusion of NLP, fMRI, and EEG data : A mathematical model for decoding semantic processing in the brain","Vivek Kumar Verma, Gottumukkala K.Chaitanya Varma, Ch Karthikeya Varma, Anita Shrotriya, Pankaj Dadheech",2024,10.47974/JIM-1891,
2-s2.0-85187843900,From the Editor-in-Chief’s Desk: Reflecting on Our Past and Future,Paul E. Croarkin,2024,10.1089/cap.2024.29255.editorial,
2-s2.0-85187645633,"Exploring, expounding & ersatzing: a three-level account of deep learning models in cognitive neuroscience",Vanja Subotić,2024,10.1007/s11229-024-04514-1,
2-s2.0-85187551161,Behavioral and cognitive neuroscience findings regarding assumptions of the evidence accumulation model 证据积累模型的行为与认知神经证据,"Yikang Liu, Chuanpeng Hu",2024,10.1360/TB-2023-1080,
2-s2.0-85187198895,A scoping review on the use of consumer-grade EEG devices for research,"Joshua Sabio, Nikolas S. Williams, Genevieve M. McArthur, Nicholas A. Badcock",2024,10.1371/journal.pone.0291186,
2-s2.0-85185949633,Generative AI: An AI paradigm shift in the making?,Risto Miikkulainen,2024,10.1002/aaai.12155,
2-s2.0-85185343944,Individual Differences in Older Adult Frontal Lobe Function Relate to Memory and Neural Activity for Self-Relevant and Emotional Content,"Ryan T. Daley, Holly J. Bowen, Eric C. Fields, Katelyn R. Parisi, Angela Gutchess, Elizabeth A. Kensinger",2024,10.1093/geronb/gbad186,
2-s2.0-85185191850,Why we publish papers reporting findings we may not believe,"Sergio Della Sala, Jordan Grafman",2024,10.1016/j.cortex.2024.01.002,
2-s2.0-85184076205,"Neuroimaging and Biosample Collection in the Toronto Adolescent and Youth Cohort Study: Rationale, Methods, and Early Data","Erin W. Dickie, Stephanie H. Ameis, Isabelle Boileau, Andreea O. Diaconescu, Daniel Felsky, Benjamin I. Goldstein, Vanessa Gonçalves, John D. Griffiths, John D. Haltigan, Muhammad O. Husain, Dafna S. Rubin-Kahana, Myera Iftikhar, Melanie Jani, Meng Chuan Lai, Hsiang Yuan Lin, Bradley J. MacIntosh, Anne L. Wheeler, Neil Vasdev, Erica Vieira, Ghazaleh Ahmadzadeh, Lindsay Heyland, Akshay Mohan, Feyi Ogunsanya, Lindsay D. Oliver, Cherrie Zhu, Jimmy K.Y. Wong, Colleen Charlton, Jennifer Truong, Lujia Yu, Rachel Kelly, Kristin Cleverley, Darren B. Courtney, George Foussias, Lisa D. Hawke, Sean Hill, Nicole Kozloff, Alexia Polillo, Martin Rotenberg, Lena C. Quilty, Wanda Tempelaar, Wei Wang, Yuliya S. Nikolova, Aristotle N. Voineskos, Madison Aitken, Brendan F. Andrade, Marco Battaglia, Hayley Hamilton, Muhammad Omair Husain, Sean A. Kidd, Paul Kurdyak, Stephen P. Lewis, Robert D. Levitan, Yona Lunsky, Sam Osman, Shannon Pascoe, Connie Putterman, Harijah Sivakumar, Peter Szatmari, Anna I.R. van der Miesen, Erica L. Vieira",2024,10.1016/j.bpsc.2023.10.013,
2-s2.0-85183104295,The cognitive impact of light: illuminating ipRGC circuit mechanisms,"Heather L. Mahoney, Tiffany M. Schmidt",2024,10.1038/s41583-023-00788-5,
2-s2.0-85182242715,Joint Modelling of Latent Cognitive Mechanisms Shared Across Decision-Making Domains,"Niek Stevenson, Reilly J. Innes, Russell J. Boag, Steven Miletić, Scott J.S. Isherwood, Anne C. Trutti, Andrew Heathcote, Birte U. Forstmann",2024,10.1007/s42113-023-00192-3,
2-s2.0-85181911522,Rethinking Movement Disorders,"Alexander Münchau, Christine Klein, Christian Beste",2024,10.1002/mds.29706,
2-s2.0-85180333713,An active inference perspective for the amygdala complex,"Ronald Sladky, Dominic Kargl, Wulf Haubensak, Claus Lamm",2024,10.1016/j.tics.2023.11.004,
2-s2.0-85180255623,Reaching Students with Reading Disabilities During the Summer,"Joanna A. Christodoulou, Adriana M. Azor, Rebecca A. Marks",2024,10.1177/23727322231220636,
2-s2.0-85178406676,"The cognitive neuroscience of self-awareness: Current framework, clinical implications, and future research directions","Daniel C. Mograbi, Simon Hall, Beatriz Arantes, Jonathan Huntley",2024,10.1002/wcs.1670,
2-s2.0-85177819958,EEG decoding for musical emotion with functional connectivity features,"Jiayang Xu, Wenxia Qian, Liangliang Hu, Guangyuan Liao, Yin Tian",2024,10.1016/j.bspc.2023.105744,
2-s2.0-85176084893,Getting LOST: A conceptual framework for supporting and enhancing spatial navigation in aging,"Steven M. Weisberg, Natalie C. Ebner, Rachael D. Seidler",2024,10.1002/wcs.1669,
2-s2.0-85161422844,Effectiveness of self-run vs. third-party sales channels on the consumers' purchase intention: A multi-method exploration of the moderating role of review volume,"Lijuan Song, Zan Mo, Yue He, Jianhua Liu, Huijian Fu",2024,10.1002/cb.2194,
2-s2.0-85159080628,The Functional Aspects of Resting EEG Microstates: A Systematic Review,"Povilas Tarailis, Thomas Koenig, Christoph M. Michel, Inga Griškova-Bulanova",2024,10.1007/s10548-023-00958-9,
2-s2.0-85147355930,"Receive, Retain and Retrieve: Psychological and Neurobiological Perspectives on Memory Retrieval","Anisha Savarimuthu, R. Joseph Ponniah",2024,10.1007/s12124-023-09752-5,
2-s2.0-85186747325,Q&A with Ted Satterthwaite and Joëlle Bagautdinova,"Theodore D. Satterthwaite, Joëlle Bagautdinova",2024,10.1016/j.celrep.2023.113659,
2-s2.0-85180964718,"Association of hippocampal subfield volumes with prevalence, course and incidence of depressive symptoms: The Maastricht Study","Jennifer Monereo-Sánchez, Jacobus F.A. Jansen, Martin P.J. Van Boxtel, Walter H. Backes, Sebastian Köhler, Coen D.A. Stehouwer, David E.J. Linden, Miranda T. Schram",2024,10.1192/bjp.2023.143,
2-s2.0-85185711728,Isolating Neural Signatures of Conscious Speech Perception with a No-Report Sine-Wave Speech Paradigm,"Yunkai Zhu, Charlotte Li, Camille Hendry, James Glass, Enriqueta Canseco-Gonzalez, Michael A. Pitts, Andrew R. Dykstra",2024,10.1523/JNEUROSCI.0145-23.2023,
2-s2.0-85185801461,Is trypophobia real?,Geoff G. Cole,2024,10.1192/bjo.2023.621,
2-s2.0-85184033483,Glutamate-specific gene linked to human brain evolution enhances synaptic plasticity and cognitive processes,"Cleanthe Spanaki, Kyriaki Sidiropoulou, Zoe Petraki, Konstantinos Diskos, Xanthippi Konstantoudaki, Emmanouela Volitaki, Konstantina Mylonaki, Maria Savvaki, Andreas Plaitakis",2024,10.1016/j.isci.2024.108821,
2-s2.0-85184005140,"Cholesterol-metabolism, plant sterols, and long-term cognitive decline in older people – Effects of sex and APOEe4","Matteo Spinedi, Christopher Clark, Leonardo Zullo, Anja Kerksiek, Giorgio Pistis, Enrique Castelao, Armin von Gunten, Martin Preisig, Dieter Lütjohann, Julius Popp",2024,10.1016/j.isci.2024.109013,
2-s2.0-85183991436,Development of sensorimotor-visual connectome gradient at birth predicts neurocognitive outcomes at 2 years of age,"Yunman Xia, Jianlong Zhao, Yuehua Xu, Dingna Duan, Mingrui Xia, Tina Jeon, Minhui Ouyang, Lina Chalak, Nancy Rollins, Hao Huang, Yong He",2024,10.1016/j.isci.2024.108981,
2-s2.0-85183880181,Seeing in the dark: High-order visual functions under scotopic conditions,"Ayelet McKyton, Deena Elul, Netta Levin",2024,10.1016/j.isci.2024.108929,
2-s2.0-85183515198,Inhibition of cannabinoid degradation enhances hippocampal contextual fear memory and exhibits anxiolytic effects,"Jinming Zhang, Junmin Zhang, Ruiqi Yuan, Wenxin Han, Yuan Chang, Lingyang Kong, Chunling Wei, Qiaohua Zheng, Xingchao Zhu, Zhiqiang Liu, Wei Ren, Jing Han",2024,10.1016/j.isci.2024.108919,
2-s2.0-85183487315,Paying attention to natural scenes in area V1,"Andreea Lazar, Liane Klein, Johanna Klon-Lipok, Mihály Bányai, Gergő Orbán, Wolf Singer",2024,10.1016/j.isci.2024.108816,
2-s2.0-85183187244,A pilot study on a patient with refractory headache: Personalized deep brain stimulation through stereoelectroencephalography,"Hulin Zhao, Shuhua Zhang, Yining Wang, Chuting Zhang, Zihua Gong, Mingjie Zhang, Wei Dai, Ye Ran, Wenbin Shi, Yuanyuan Dang, Aijun Liu, Zhengbo Zhang, Chien Hung Yeh, Zhao Dong, Shengyuan Yu",2024,10.1016/j.isci.2024.108847,
2-s2.0-85183037798,Evolution of a theory of mind,"Tom Lenaerts, Marco Saponara, Jorge M. Pacheco, Francisco C. Santos",2024,10.1016/j.isci.2024.108862,
2-s2.0-85181808304,Post-interaction neuroplasticity of inter-brain networks underlies the development of social relationship,"Simone G. Shamay-Tsoory, Inbar Z. Marton-Alper, Andrey Markus",2024,10.1016/j.isci.2024.108796,
2-s2.0-85185343807,A critical overview of emotion processing assessment in non-Affective and affective psychoses,"Irene Gorrino, Maria Gloria Rossetti, Francesca Girelli, Marcella Bellani, Cinzia Perlini, Giulia Mattavelli",2024,10.1017/S204579602400009X,
2-s2.0-85187300523,Social Brain Perspectives on the Social and Evolutionary Neuroscience of Human Language,Nathan Oesch,2024,10.3390/brainsci14020166,
2-s2.0-85186264352,Brain Functional Correlates of Resting Hypnosis and Hypnotizability: A Review,Vilfredo De Pascalis,2024,10.3390/brainsci14020115,
2-s2.0-85185976587,Binocular rivalry under naturalistic geometry: Evidence from worlds simulated in virtual reality,"Shui'er Han, Randolph Blake, Celine Aubuchon, Duje Tadin",2024,10.1093/pnasnexus/pgae054,
2-s2.0-85183994905,Common and distinct patterns underlying different linguistic tasks: multivariate disconnectome symptom mapping in poststroke patients,"Yaya Jiang, Gaolang Gong",2024,10.1093/cercor/bhae008,
2-s2.0-85183943674,Improved estimation of general cognitive ability and its neural correlates with a large battery of cognitive tasks,"Liang Zhang, Junjiao Feng, Chuqi Liu, Huinan Hu, Yu Zhou, Gangyao Yang, Xiaojing Peng, Tong Li, Chuansheng Chen, Gui Xue",2024,10.1093/cercor/bhad510,
2-s2.0-85183200214,"EEGManyPipelines: A Large-scale, Grassroots Multi-analyst Study of Electroencephalography Analysis Practices in the Wild","Darinka Trübutschek, Yu Fang Yang, Claudia Gianelli, Elena Cesnaite, Nastassja L. Fischer, Mikkel C. Vinding, Tom R. Marshall, Johannes Algermissen, Annalisa Pascarella, Tuomas Puoliväli, Andrea Vitale, Niko A. Busch, Gustav Nilsonne",2024,10.1162/jocn_a_02087,
2-s2.0-85182273790,The role of external factors in affect-sharing and their neural bases,"Roger S. Gamble, Julie D. Henry, Jean Decety, Eric J. Vanman",2024,10.1016/j.neubiorev.2024.105540,
2-s2.0-85182227041,Causation in neuroscience: keeping mechanism meaningful,"Lauren N. Ross, Dani S. Bassett",2024,10.1038/s41583-023-00778-7,
2-s2.0-85181399998,UTV decomposition of dual matrices and its applications,"Renjie Xu, Tong Wei, Yimin Wei, Hong Yan",2024,10.1007/s40314-023-02565-7,
2-s2.0-85181008641,Intrinsic timescales and predictive allostatic interoception in brain health and disease,"Agustin Ibanez, Georg Northoff",2024,10.1016/j.neubiorev.2023.105510,
2-s2.0-85180482741,Development of visual object recognition,"Vladislav Ayzenberg, Marlene Behrmann",2024,10.1038/s44159-023-00266-w,
2-s2.0-85180448930,Optimizing the methodology of human sleep and memory research,"Dezső Németh, Emilie Gerbier, Jan Born, Timothy Rickard, Susanne Diekelmann, Stuart Fogel, Lisa Genzel, Alexander Prehn-Kristensen, Jessica Payne, Martin Dresler, Peter Simor, Stephanie Mazza, Kerstin Hoedlmoser, Perrine Ruby, Rebecca M.C. Spencer, Genevieve Albouy, Teodóra Vékony, Manuel Schabus, Karolina Janacsek",2024,10.1038/s44159-023-00262-0,
2-s2.0-85178461397,Scene construction and autobiographical memory retrieval in autism spectrum disorder,"Anna M. Agron, Alex Martin, Adrian W. Gilmore",2024,10.1002/aur.3066,
2-s2.0-85178089849,cpp-AIF: A multi-core C++ implementation of Active Inference for Partially Observable Markov Decision Processes,"Francesco Gregoretti, Giovanni Pezzulo, Domenico Maisto",2024,10.1016/j.neucom.2023.127065,
2-s2.0-85176748685,Cognitive Control in Schizophrenia: Advances in Computational Approaches,"Deanna M. Barch, Adam J. Culbreth, Julia M. Sheffield",2024,10.1177/09637214231205220,
2-s2.0-85173160055,Anatomo-functional profile of white matter tracts in relevance to language: A systematic review,"Yasin Kargar, Milad Jalilian",2024,10.1016/j.jneuroling.2023.101175,
2-s2.0-85171269848,An ‘embedded brain’ approach to understanding antisocial behaviour,"Essi Viding, Eamon McCrory, Arielle Baskin-Sommers, Stephane De Brito, Paul Frick",2024,10.1016/j.tics.2023.08.013,
2-s2.0-85165534271,Cognitive neuroscience and robotics: Advancements and future research directions,"Sichao Liu, Lihui Wang, Robert X. Gao",2024,10.1016/j.rcim.2023.102610,
2-s2.0-85182445105,A dedicated mental resource for intuitive physics,"Alex Mitko, Ana Navarro-Cebrián, Sarah Cormiea, Jason Fischer",2024,10.1016/j.isci.2023.108607,
2-s2.0-85180607557,Glymphatic system dysfunction in recovered patients with mild COVID-19: A DTI-ALPS study,"Lin Wu, Zhi Zhang, Xiao Liang, Yao Wang, Yuan Cao, Meng Li, Fuqing Zhou",2024,10.1016/j.isci.2023.108647,
2-s2.0-85180603067,Some dogs can find the payoff-dominant outcome in the Assurance game,"Mayte Martínez, Selina Schöndorfer, Lauren M. Robinson, Sarah F. Brosnan, Friederike Range",2024,10.1016/j.isci.2023.108698,
2-s2.0-85180318314,The right face at the wrong place: How motor intentions can override outcome monitoring,"Gabriel Vogel, Lars Hall, James Moore, Petter Johansson",2024,10.1016/j.isci.2023.108649,
2-s2.0-85179467006,Hippocampal cognitive and relational map paradigms explored by multisensory encoding recording with wide-field calcium imaging,"Dechuan Sun, Noor E.Karishma Shaik, Ranjith Rajasekharan Unnithan, Chris French",2024,10.1016/j.isci.2023.108603,
2-s2.0-85182956675,The Neuroscience of Human and Artificial Intelligence Presence,Lasana T. Harris,2024,10.1146/annurev-psych-013123-123421,
2-s2.0-85181840520,Voice categorization in the four-month-old human brain,"Roberta P. Calce, Diane Rekow, Francesca M. Barbero, Anna Kiseleva, Siddharth Talwar, Arnaud Leleu, Olivier Collignon",2024,10.1016/j.cub.2023.11.042,
2-s2.0-85189317146,Neural Specialization With Generalizable Representations Underlies Children’s Cognitive Development of Attention,"Lei Hao, Siya Peng, Ying Zhou, Xu Chen, Jiang Qiu, Wenbo Luo, Liping Zhuang, Jiahua Xu, Yanpei Wang, Haowen Su, Haoran Guan, Jing Luo, Shuping Tan, Jia Hong Gao, Yong He, Tanya M. Evans, Jin Fan, Sha Tao, Qi Dong, Shaozheng Qin",2024,10.1037/amp0001283,
2-s2.0-85189180752,Picture naming test through the prism of cognitive neuroscience and linguistics: adapting the test for cerebellar tumor survivors—or pouring new wine in old sacks?,"Olga Morkovina, Piruza Manukyan, Anastasia Sharapkova",2024,10.3389/fpsyg.2024.1332391,
2-s2.0-85189176376,Study of Brainwave Entrainment Induced by 1-h-Long 40-Hz Flickering Stimulation,"Tan Yizhou, Li Zhe, Zhou Yong, Cai Hanshu, Qiu Haixia, Zhao Yue, Gu Ying",2024,10.1109/TCSS.2024.3374455,
2-s2.0-85189143622,Visuospatial cueing differences as a function of autistic traits,"Min Quan Heo, Michael C.W. English, Murray T. Maybery, Troy A.W. Visser",2024,10.3758/s13414-024-02871-0,
2-s2.0-85189097020,Atypical lesion of the body of fornix in autoimmune glial fibrillary acidic protein astrocytopathy,"Kenta Tominaga, Yu Matsuda, Kazuki Fujita, Michiko Tsutsumiuchi, Akio Kimura, Takayoshi Shimohata, Yoshio Sakiyama",2024,10.1111/ncn3.12808,
2-s2.0-85188450846,"Corrigendum to “Functional maturation in visual pathways predicts attention to the eyes in infant rhesus macaques: Effects of social status” [Dev. Cogn. Neurosci., 60 C (2023): 101213] (Developmental Cognitive Neuroscience (2023) 60, (S187892932300018X), (10.1016/j.dcn.2023.101213))","Aiden Ford, Zsofia A. Kovacs-Balint, Arick Wang, Eric Feczko, Eric Earl, Óscar Miranda-Domínguez, Longchuan Li, Martin Styner, Damien Fair, Warren Jones, Jocelyne Bachevalier, Mar M. Sánchez",2024,10.1016/j.dcn.2024.101364,
2-s2.0-85188446784,Dissociating language and thought in large language models,"Kyle Mahowald, Anna A. Ivanova, Idan A. Blank, Nancy Kanwisher, Joshua B. Tenenbaum, Evelina Fedorenko",2024,10.1016/j.tics.2024.01.011,
2-s2.0-85188442617,Super-optimality and relative distance coding in location memory,"Gordon McIntire, Stephen Dopkins",2024,10.3758/s13421-024-01553-4,
2-s2.0-85188241096,Editorial: New challenges and future perspectives in cognitive neuroscience,"Christos A. Frantzidis, Eleni Peristeri, Maria Andreou, Alexandra I. Cristea",2024,10.3389/fnhum.2024.1390788,
2-s2.0-85188019210,Enhancing neural encoding models for naturalistic perception with a multi-level integration of deep neural networks and cortical networks,"Yuanning Li, Huzheng Yang, Shi Gu",2024,10.1016/j.scib.2024.02.035,
2-s2.0-85187786986,Computational and Translational Fractal-Based Analysis in the Translational Neurosciences: An Overview,Antonio Di Ieva,2024,10.1007/978-3-031-47606-8_39,
2-s2.0-85187785453,Fractal Analysis in Clinical Neurosciences: An Overview,Antonio Di Ieva,2024,10.1007/978-3-031-47606-8_13,
2-s2.0-85187774770,Fractals in Neuropsychology and Cognitive Neuroscience,Antonio Cerasa,2024,10.1007/978-3-031-47606-8_38,
